Zabit Magomedsharipov,Record: 15-1-0,"6' 1""",145 lbs.,"73""",Orthodox,1-Mar-91,4.53,50%,67%,,6.56,58%,77%,1.2
Sheymon Moraes,Record: 10-2-0,"5' 8""",145 lbs.,"72""",Orthodox,11-Oct-90,3.08,44%,63%,,0,0%,38%,0
Song Kenan,Record: 14-4-0,"6' 0""",170 lbs.,"71""",Orthodox,10-Mar-90,4.6,54%,56%,,0,0%,0%,0
Bobby Nash,Record: 8-4-0,"6' 0""",170 lbs.,"74""",Orthodox,26-Mar-90,3.42,37%,51%,,2.37,33%,100%,1.6
Yan Xiaonan,Record: 9-1-0 (1 NC),"5' 5""",115 lbs.,"63""",Orthodox,16-Jun-89,5.57,38%,72%,,0,0%,66%,0
Kailin Curran,Record: 4-6-0,"5' 4""",115 lbs.,"65""",Orthodox,11-Apr-91,3.89,43%,53%,,2,57%,61%,0.6
Song Yadong,Record: 11-3-0 (2 NC),"5' 8""",135 lbs.,"67""",Orthodox,2-Dec-97,3.3,36%,81%,,1.05,100%,100%,2.1
Bharat Kandare,Record: 5-3-0,"5' 7""",135 lbs.,"72""",Orthodox,20-Jun-87,0.7,10%,72%,,0,0%,0%,0
Shamil Abdurakhimov,Record: 18-4-0,"6' 3""",235 lbs.,"76""",Orthodox,2-Sep-81,2.53,45%,58%,,1.36,22%,77%,0.3
Chase Sherman,Record: 11-5-0,"6' 4""",250 lbs.,"78""",Orthodox,16-Nov-89,5.85,43%,52%,,0,0%,87%,0
Gina Mazany,Record: 5-2-0,"5' 6""",135 lbs.,"68""",Southpaw,19-Aug-88,2.43,48%,50%,,3.36,77%,20%,0
Wu Yanan,Record: 9-2-0,"5' 8""",135 lbs.,"66""",Orthodox,18-Apr-96,1.47,43%,41%,,1,50%,28%,0
Rolando Dy,Record: 9-7-1 (1 NC),"5' 8""",145 lbs.,"69""",Orthodox,11-Aug-90,3.04,37%,52%,,0.3,20%,68%,0
Wuliji Buren,Record: 10-6-0,"5' 9""",135 lbs.,"69""",Orthodox,1-Mar-89,1.93,39%,61%,,3.62,40%,80%,0
Cyril Asker,Record: 9-4-0,"6' 0""",247 lbs.,"74""",Orthodox,24-Dec-85,3.35,39%,35%,,4.41,62%,100%,0.9
Hu Yaozong,Record: 3-1-0,"6' 3""",242 lbs.,"72""",Orthodox,7-Apr-95,1.06,44%,42%,,0,0%,0%,2
Fabricio Werdum,Record: 23-8-1,"6' 4""",231 lbs.,"77""",Orthodox,30-Jul-77,3.61,51%,56%,,1.65,30%,31%,1.1
Marcin Tybura,Record: 17-4-0,"6' 3""",249 lbs.,"78""",Orthodox,9-Nov-85,3.6,52%,52%,,1.61,61%,79%,0.1
Jessica-Rose Clark,Record: 9-5-0 (1 NC),"5' 5""",125 lbs.,"64""",Orthodox,28-Nov-87,4.6,50%,61%,,1.33,66%,57%,0.7
Bec Rawlings,Record: 7-8-0,"5' 6""",125 lbs.,"64""",Orthodox,11-Feb-89,4.48,42%,57%,,0.71,40%,68%,0.4
Belal Muhammad,Record: 14-2-0,"5' 11""",170 lbs.,"72""",Orthodox,9-Jul-88,4.63,43%,60%,,2.48,39%,90%,0.2
Tim Means,Record: 27-10-1 (1 NC),"6' 2""",170 lbs.,"75""",Orthodox,20-Feb-84,4.71,44%,63%,,0.66,44%,63%,0.2
Jake Matthews,Record: 14-3-0,"5' 11""",170 lbs.,"73""",Orthodox,19-Aug-94,3.05,48%,56%,,2.51,41%,66%,0.9
Bojan Velickovic,Record: 15-6-1,"6' 0""",170 lbs.,"76""",Southpaw,18-Dec-88,2.18,34%,57%,,0.67,25%,55%,0.5
Elias Theodorou,Record: 16-2-0,"6' 1""",185 lbs.,"75""",Orthodox,31-May-88,3.93,42%,55%,,1.58,30%,58%,0
Daniel Kelly,Record: 13-4-0,"6' 0""",185 lbs.,"70""",Southpaw,31-Oct-77,3.62,38%,61%,,1.86,34%,78%,0.3
Alexander Volkanovski,Record: 18-1-0,"5' 6""",145 lbs.,"71""",Orthodox,29-Sep-88,6.09,63%,63%,,3.87,41%,82%,0.7
Shane Young,Record: 12-4-0,"5' 8""",145 lbs.,"72""",Orthodox,31-Jul-93,4.95,41%,53%,,1.22,33%,64%,0
Ryan Benoit,Record: 10-5-0,"5' 5""",125 lbs.,"68""",Orthodox,25-Aug-89,2.38,36%,59%,,0.24,20%,62%,0.2
Ashkan Mokhtarian,Record: 13-3-0,"5' 6""",125 lbs.,"67""",Southpaw,15-Sep-85,1.95,43%,43%,,0.54,16%,33%,0
Nik Lentz,Record: 30-9-2 (1 NC),"5' 8""",155 lbs.,"68""",Orthodox,13-Aug-84,3.21,48%,49%,,3.46,35%,44%,1.3
Will Brooks,Record: 18-4-0,"5' 10""",155 lbs.,"72""",Orthodox,8-Oct-86,4.26,59%,56%,,2.08,51%,82%,0.3
Tai Tuivasa,Record: 10-0-0,"6' 2""",264 lbs.,"75""",Southpaw,16-Mar-93,5.21,55%,58%,,0,0%,100%,0
Rashad Coulter,Record: 8-4-0,"5' 11""",245 lbs.,"76""",Orthodox,27-Nov-81,3.74,50%,52%,,0,0%,57%,0
Frank Camacho,Record: 21-6-0,"5' 10""",170 lbs.,"73""",Orthodox,18-May-89,6.56,45%,54%,,1.67,55%,80%,0
Damien Brown,Record: 17-12-0,"5' 10""",155 lbs.,"68""",Orthodox,25-Dec-84,3.66,38%,50%,,0.68,27%,53%,0.7
Nadia Kassem,Record: 5-0-0,"5' 5""",115 lbs.,"66""",Southpaw,15-Nov-95,3.47,49%,35%,,0,0%,42%,6
Alex Chambers,Record: 5-4-0,"5' 3""",115 lbs.,"63""",,25-Oct-78,2.97,54%,50%,,2.38,41%,57%,1
Eric Shelton,Record: 11-5-0,"5' 6""",125 lbs.,"68""",Orthodox,2-Feb-91,3.17,46%,66%,,2.5,43%,45%,0.2
Jenel Lausa,Record: 7-5-0,"5' 5""",125 lbs.,"68""",Orthodox,1-Aug-88,1.44,42%,53%,,0.55,66%,51%,0.8
